LOCAL,VISITANTE,FECHA,SEMANA,
12,14,07/08/2016,0,
30,25,08/11/2016,0,
32,2,08/11/2016,0,
5,3,08/11/2016,0,
15,23,08/11/2016,0,
21,20,08/11/2016,0,
10,6,08/11/2016,0,
,,,,
11,26,08/12/2016,0,
18,22,08/12/2016,0,
19,7,08/12/2016,0,
8,12,08/12/2016,0,
24,1,08/12/2016,0,
,,,,
29,16,13/8/2016,0,
14,4,13/8/2016,0,
27,13,13/8/2016,0,
9,17,13/8/2016,0,
,,,,
13,28,14/08/2016,0,
,,,,
25,26,18/08/2016,0,
7,11,18/08/2016,0,
2,8,18/08/2016,0,
6,20,18/08/2016,0,
24,12,18/08/2016,0,
19,29,18/08/2016,0,
,,,,
23,32,19/08/2016,0,
18,9,19/08/2016,0,
1,27,19/08/2016,0,
,,,,
5,31,20/08/2016,0,
22,4,20/08/2016,0,
3,14,20/08/2016,0,
30,15,20/08/2016,0,
21,13,20/08/2016,0,
16,17,20/08/2016,0,
28,10,20/08/2016,0,
,,,,
2,18,25/08/2016,0,
9,29,25/08/2016,0,
,,,,
20,5,26/08/2016,0,
4,32,26/08/2016,,
26,21,26/08/2016,,
8,30,26/08/2016,,
12,28,26/08/2016,,
,,,,
16,6,27/08/2016,0,
11,3,27/08/2016,0,
25,14,27/08/2016,0,
22,23,27/08/2016,0,
31,24,27/08/2016,0,
17,10,27/08/2016,0,
,,,,
15,2,09/01/2016,0,
31,18,09/01/2016,0,
23,25,09/01/2016,0,
20,22,09/01/2016,0,
14,7,09/01/2016,0,
32,30,09/01/2016,0,
4,11,09/01/2016,0,
26,5,09/01/2016,0,
17,19,09/01/2016,0,
3,21,09/01/2016,0,
13,9,09/01/2016,0,
12,16,09/01/2016,0,
6,8,09/01/2016,0,
10,1,09/01/2016,0,
28,27,09/01/2016,0,
29,24,09/01/2016,0,
,,,,
5,10,09/08/2016,1,
19,31,09/11/2016,1,
8,25,09/11/2016,1,
4,3,09/11/2016,1,
24,21,09/11/2016,1,
27,16,09/11/2016,1,
12,15,09/11/2016,1,
6,13,09/11/2016,1,
30,2,09/11/2016,1,
7,23,09/11/2016,1,
18,29,09/11/2016,1,
22,9,09/11/2016,1,
11,14,09/11/2016,1,
20,1,09/11/2016,1,
,,,,
26,32,09/12/2016,1,
17,28,09/12/2016,1,
,,,,
23,4,15/9/2016,2,
3,8,18/9/2016,2,
31,11,18/9/2016,2,
16,13,18/9/2016,2,
18,20,18/9/2016,2,
21,22,18/9/2016,2,
9,32,18/9/2016,2,
28,5,18/9/2016,2,
7,26,18/9/2016,2,
29,17,18/9/2016,2,
30,1,18/9/2016,2,
14,10,18/9/2016,2,
2,24,18/9/2016,2,
15,27,18/9/2016,2,
12,19,18/9/2016,2,
25,6,19/09/2016,2,
,,,,
13,20,22/09/2016,3,
32,22,25/09/2016,3,
1,4,25/09/2016,3,
19,5,25/09/2016,3,
10,7,25/09/2016,3,
11,12,25/09/2016,3,
3,15,25/09/2016,3,
8,18,25/09/2016,3,
24,31,25/09/2016,3,
28,29,25/09/2016,3,
17,30,25/09/2016,3,
26,25,25/09/2016,3,
27,14,25/09/2016,3,
23,16,25/09/2016,3,
6,9,25/09/2016,3,
